🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight investor positive_rate=0.834 (sample=500)
♻️ Warm-start loaded from: outputs/final_mega.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=200 | bot=investor
[Step 028] user:investor loss: 5.085 grad:24.990 pred: 3.135 reward: 10.00 eps:0.23 exploit regret:    - hn:0.824 hc:0.96 | source_business_insider | Analytical Deep Dive | I'm addicted to Sora 2! I can't stop making AI
[Step 029] user:investor loss: 0.606 grad: 2.323 pred: 3.140 reward:  7.69 eps:0.23 exploit regret:    - hn:0.825 hc:0.96 | source_mashable | Analytical Deep Dive | OpenAI's Sora 2, Meta's Vibes, Character.AI's 
[Step 030] user:investor loss: 4.681 grad:22.798 pred: 3.115 reward: 10.00 eps:0.23 exploit regret: 0.00 hn:0.823 hc:0.96 | source_analytics_india_magazine | Analytical Deep Dive | OpenAI Launches Codex Desktop App, Brings Mult
[Step 031] user:investor loss: 0.651 grad: 2.592 pred: 3.119 reward:  7.71 eps:0.23 explore regret:    - hn:0.824 hc:0.96 | source_india_tv_news | Analytical Deep Dive | OpenAI launches Sora on Android: AI video crea
[Step 032] user:investor loss: 2.351 grad:14.445 pred: 3.136 reward:  7.49 eps:0.23 exploit regret:    - hn:0.825 hc:0.96 | source_cined | Analytical Deep Dive | OpenAI’s Sora 2 Brings Realistic Physics, Audi
[Step 033] user:investor loss:12.803 grad:40.450 pred: 3.125 reward: 10.00 eps:0.23 exploit regret:    - hn:0.824 hc:0.96 | source_pcmag | Analytical Deep Dive | You Can Now Make Sora AI Videos on Bing. Here'
[Step 034] user:investor loss:10.798 grad:32.835 pred: 3.067 reward: 10.00 eps:0.22 exploit regret:    - hn:0.820 hc:0.96 | source_india_today | Analytical Deep Dive | OpenAI launches Sora, its own Instagram-style 
[Step 035] user:investor loss: 2.783 grad:12.845 pred: 3.043 reward:  7.13 eps:0.22 exploit regret:    - hn:0.818 hc:0.95 | source_opentools | Analytical Deep Dive | Elon Musk's xAI Sues Former Engineer Over Trad
[Step 036] user:investor loss: 5.657 grad:22.478 pred: 3.056 reward: 10.00 eps:0.22 exploit regret:    - hn:0.819 hc:0.95 | source_cbc | Analytical Deep Dive | OpenAI launches Sora social media app for AI-g
[Step 037] user:investor loss: 0.951 grad: 3.784 pred: 3.004 reward:  7.51 eps:0.22 explore regret:    - hn:0.815 hc:0.95 | theweek.in | Analytical Deep Dive | Decoding the failure of PSLV C62 mission: Indi
[Step 038] user:investor loss: 4.254 grad:14.177 pred: 3.004 reward:  3.82 eps:0.22 exploit regret:    - hn:0.815 hc:0.95 | source_center_for_democracy_and_technology | Dystopian Warning | The Border Search Device Database and AI: How 
[Step 039] user:investor loss: 4.948 grad:15.251 pred: 3.021 reward:  2.09 eps:0.22 exploit regret:    - hn:0.816 hc:0.95 | dailymail.co.uk | Clickbait Shocker | Jamie Redknapp reveals he's been sober for 18 
[Step 040] user:investor loss: 2.471 grad: 8.216 pred: 2.912 reward:  7.09 eps:0.22 exploit regret: 2.91 hn:0.807 hc:0.95 | source_yahoo_news_canada | Analytical Deep Dive | Web Summit Qatar 2026 opens to sold-out crowds
[Step 041] user:investor loss: 1.185 grad: 4.330 pred: 2.919 reward:  7.32 eps:0.22 exploit regret:    - hn:0.808 hc:0.95 | source_9dashline | Analytical Deep Dive | Europe’s dependency on critical minerals: How 
[Step 042] user:investor loss: 2.071 grad: 6.658 pred: 2.895 reward:  7.26 eps:0.22 exploit regret:    - hn:0.806 hc:0.95 | bbc.com | Analytical Deep Dive | 'Super exciting!' - Seahawks fans celebrate Su
[Step 043] user:investor loss: 5.554 grad:15.430 pred: 2.901 reward: 10.00 eps:0.22 exploit regret:    - hn:0.806 hc:0.95 | source_uk_in_a_changing_europe | Analytical Deep Dive | Is the concept of EU Strategic Autonomy dead? 
[Step 044] user:investor loss: 1.382 grad: 4.457 pred: 2.840 reward:  7.24 eps:0.22 exploit regret:    - hn:0.801 hc:0.94 | source_united_states_conference_of_mayors | Analytical Deep Dive | Civic I/O: Mayors Summit at SXSW - United Stat
[Step 045] user:investor loss: 3.012 grad: 8.815 pred: 2.847 reward: 10.00 eps:0.22 exploit regret:    - hn:0.801 hc:0.95 | source_mongabay_india | Analytical Deep Dive | New species from the deep oceans and high moun
[Step 046] user:investor loss: 4.156 grad:12.661 pred: 2.865 reward: 10.00 eps:0.22 exploit regret:    - hn:0.803 hc:0.95 | source_mckinsey_company | Analytical Deep Dive | 10 imperatives for Europe in the age of AI and
[Step 047] user:investor loss: 1.487 grad: 4.629 pred: 2.815 reward:  7.81 eps:0.21 exploit regret:    - hn:0.798 hc:0.94 | source_london_evening_standard | Analytical Deep Dive | What the ‘Indie Sleaze Revival’ tells us about
