🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight ai_doom positive_rate=0.256 (sample=500)
♻️ Warm-start loaded from: outputs/ft_ai_doom_v2.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=250 | bot=ai_doom
[Step 027] user:ai_doom loss: 0.616 grad: 2.163 pred: 3.160 reward:  7.82 eps:0.23 explore regret:    - hn:0.822 hc:0.96 | source_futurism | Analytical Deep Dive | OpenAI’s Sora Is in Serious Trouble - Futurism
[Step 028] user:ai_doom loss: 5.559 grad:29.240 pred: 3.230 reward: 10.00 eps:0.23 exploit regret:    - hn:0.825 hc:0.96 | source_business_insider | Analytical Deep Dive | OpenAI Explains How It Plans to Start Making M
[Step 029] user:ai_doom loss: 3.932 grad:22.300 pred: 3.221 reward:  7.16 eps:0.23 exploit regret:    - hn:0.828 hc:0.96 | source_the_new_york_times | Analytical Deep Dive | OpenAI’s Sora Video App Is Jaw-Dropping (for B
[Step 030] user:ai_doom loss: 5.306 grad:28.078 pred: 3.233 reward: 10.00 eps:0.23 exploit regret: 0.00 hn:0.827 hc:0.96 | source_testingcatalog | Analytical Deep Dive | Early access to SearchGPT: OpenAI’s AI-powered
[Step 031] user:ai_doom loss: 7.893 grad:33.854 pred: 3.211 reward: 10.00 eps:0.23 explore regret:    - hn:0.830 hc:0.96 | mezha.net | Analytical Deep Dive | OpenAI’s Sora AI Video Generator Launches on A
[Step 032] user:ai_doom loss: 0.548 grad: 1.533 pred: 3.230 reward:  7.56 eps:0.23 exploit regret:    - hn:0.829 hc:0.96 | source_mashable | Analytical Deep Dive | Samsung ChatGPT leak: Samsung workers accident
[Step 033] user:ai_doom loss: 0.601 grad: 2.026 pred: 3.205 reward:  7.66 eps:0.23 exploit regret:    - hn:0.825 hc:0.96 | source_pcmag_uk | Analytical Deep Dive | You Can Now Make Sora AI Videos on Bing. Here'
[Step 034] user:ai_doom loss: 8.539 grad:33.492 pred: 3.210 reward: 10.00 eps:0.23 exploit regret:    - hn:0.824 hc:0.96 | source_techcrunch | Analytical Deep Dive | OpenAI’s Sora soars to No. 1 on Apple’s US App
[Step 035] user:ai_doom loss: 3.009 grad:14.990 pred: 3.214 reward:  7.82 eps:0.23 exploit regret:    - hn:0.825 hc:0.96 | source_opentools | Analytical Deep Dive | Elon Musk's xAI Sues Former Engineer Over Trad
[Step 036] user:ai_doom loss: 4.146 grad:21.691 pred: 3.200 reward: 10.00 eps:0.23 exploit regret:    - hn:0.822 hc:0.96 | source_times_of_india | Analytical Deep Dive | OpenAI launches new open-source AI models gpt-
[Step 037] user:ai_doom loss: 4.928 grad:20.327 pred: 3.158 reward: 10.00 eps:0.23 explore regret:    - hn:0.822 hc:0.96 | source_ndtv | Analytical Deep Dive | OpenAI Launches Sora 2, Its New AI Video App T
[Step 038] user:ai_doom loss: 0.840 grad: 3.402 pred: 3.112 reward:  7.32 eps:0.23 exploit regret:    - hn:0.819 hc:0.96 | source_venturebeat | Analytical Deep Dive | OpenAI’s GPT-5.3-Codex drops as Anthropic upgr
[Step 039] user:ai_doom loss: 0.778 grad: 3.242 pred: 3.161 reward:  7.62 eps:0.23 exploit regret:    - hn:0.819 hc:0.95 | source_venturebeat | Analytical Deep Dive | OpenCUA’s open source computer-use agents riva
[Step 040] user:ai_doom loss: 3.353 grad:14.484 pred: 3.125 reward: 10.00 eps:0.23 exploit regret: 0.00 hn:0.823 hc:0.96 | source_asia_business_outlook | Analytical Deep Dive | OpenAI Expands Sora AI Video App to Asia Marke
[Step 041] user:ai_doom loss: 0.793 grad: 3.426 pred: 3.198 reward:  7.65 eps:0.23 exploit regret:    - hn:0.817 hc:0.95 | source_analytics_india_magazine | Analytical Deep Dive | OpenAI Launches Codex Desktop App, Brings Mult
[Step 042] user:ai_doom loss: 3.281 grad:15.791 pred: 3.200 reward: 10.00 eps:0.22 exploit regret:    - hn:0.818 hc:0.95 | source_the_guardian | Analytical Deep Dive | OpenAI launch of video app Sora plagued by vio
[Step 043] user:ai_doom loss: 1.008 grad: 4.262 pred: 3.173 reward:  7.38 eps:0.22 exploit regret:    - hn:0.820 hc:0.96 | source_times_of_india | Analytical Deep Dive | OpenAI CEO Sam Altman defends the launch of AI
[Step 044] user:ai_doom loss: 0.980 grad: 4.122 pred: 3.169 reward:  7.91 eps:0.22 exploit regret:    - hn:0.823 hc:0.96 | toronto.com | Analytical Deep Dive | OpenAI launches Sora AI social app in Canada. 
[Step 045] user:ai_doom loss: 1.016 grad: 4.309 pred: 3.206 reward:  7.22 eps:0.22 exploit regret:    - hn:0.824 hc:0.96 | source_nbc_news | Analytical Deep Dive | OpenAI strengthens Sora 2 guardrails after act
[Step 046] user:ai_doom loss: 2.963 grad:12.281 pred: 3.229 reward:  7.06 eps:0.22 exploit regret:    - hn:0.826 hc:0.96 | source_ars_technica | Analytical Deep Dive | OpenAI launches Operator, an AI agent that can
[Step 047] user:ai_doom loss:17.486 grad:55.681 pred: 3.321 reward: -5.08 eps:0.22 exploit regret:    - hn:0.837 hc:0.97 | bloomberg.com | Analytical Deep Dive | Inside the ‘Tartarian Empire,’ the QAnon of Ar
[Step 048] user:ai_doom loss: 4.941 grad:23.562 pred: 3.295 reward: 10.00 eps:0.22 exploit regret:    - hn:0.831 hc:0.96 | source_the_guardian | Analytical Deep Dive | ‘Legacies condensed to AI slop’: OpenAI Sora v
